         table_name         | row_count 
----------------------------+-----------
 n8n_chat_histories         |        80
 agent_usage_logs           |        40
 aria_wins                  |        36
 aria_knowledge             |        31
 aria_messages              |        27
 aria_conversations         |        10
 llm_budget_alerts          |         4
 aria_portfolio_summary     |         1
 decisions                  |         0
 aria_attachments           |         0
 aria_unified_memory        |         0
 aria_sessions              |         0
 aria_interface_sync        |         0
 calendar_deletions         |         0
 date_planner_users         |         0
 date_planner_preferences   |         0
 date_planner_searches      |         0
 date_planner_venue_cache   |         0
 date_planner_conversations |         0
 date_planner_venue_stats   |         0
 aria_model_routing         |         0
 aria_cost_tracking         |         0
 aria_model_pricing         |         0
 aria_user_preferences      |         0
 aria_routing_patterns      |         0
 aria_reminders             |         0
 aria_user_profile          |         0
 llm_usage                  |         0
 llm_usage_daily            |         0
 aria_wheel_of_life         |         0
 aria_values                |         0
 aria_daily_checkins        |         0
 aria_goals                 |         0
 aria_grow_sessions         |         0
 aria_habits                |         0
 aria_habit_completions     |         0
 aria_energy_logs           |         0
 aria_decisions             |         0
 aria_resistance_patterns   |         0
 aria_commitments           |         0
 aria_coaching_sessions     |         0
 aria_tool_analytics        |         0
 aria_chunks                |         0
 aria_chunk_embeddings      |         0
 aria_extracted_info        |         0
 aria_async_tasks           |         0
 aria_task_progress         |         0
 aria_memory_relationships  |         0
 aria_unified_memory_backup |         0
 n8n_vectors                |         0
 date_planner               |         0
 patterns                   |         0
 context                    |         0
 launch_timeline            |         0
 conversations_legacy       |         0
 tasks                      |         0
(56 rows)

